"song_count","id","title","all_artists","popularity","release_date","genre","danceability","energy","key","loudness","mode","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
0,"2KB8rqbA52HPAKBcutVp51",Nostalgi,Kapteinen,43,"2023-06-23","{'norwegian pop rap', 'rogaland musikk'}",0.86,0.684,8,-5.593,0,0.0205,0.00266,0.0702,0.966,126.977,157087,4
1,"3JtEochUrOXXcOBJ696kZb",Danse ligavell,Kapteinen,30,"2021-01-15","{'norwegian pop rap', 'rogaland musikk'}",0.601,0.754,1,-7.655,1,0.00323,0.0,0.0683,0.603,184.11,192750,4
3,"7LcfRTgAVTs5pQGEQgUEzN","Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Christina Aguilera,74,"2010","{'dance pop', 'pop'}",0.722,0.758,11,-4.477,0,0.0111,0.0,0.308,0.62,128.047,201160,4
5,"38YgZVHPWOWsKrsCXz6JyP",Come On Get Higher,Matt Nathanson,71,"2007-01-01","{'acoustic pop', 'neo mellow'}",0.672,0.623,9,-5.699,1,0.241,0.0,0.0848,0.617,92.018,215173,4
14,"3l9h9PUumj2eePGWjkxFR2",Frihet,Kapteinen,15,"2023-01-27","{'norwegian pop rap', 'rogaland musikk'}",0.747,0.677,5,-6.657,1,0.0183,0.00000113,0.167,0.646,109.992,180885,4
19,"2Bwxq0b6yTeQEmDjJ7odRC",Spøkelser,Kapteinen,24,"2023-01-06","{'norwegian pop rap', 'rogaland musikk'}",0.752,0.768,1,-5.571,0,0.0175,0.0,0.0335,0.728,158.01,162153,4
21,"4Lun4dCF7S41uPvughSIM0",Føle meg bedre,Kapteinen,34,"2022-05-06","{'norwegian pop rap', 'rogaland musikk'}",0.728,0.709,5,-10.038,1,0.0542,0.000331,0.0852,0.61,101.01,184900,4
25,"6DxP5I8SdtYtFPe7TvqHif",I Want You Tonight,Geowulf,28,"2019-10-25",{'modern dream pop'},0.544,0.68,11,-6.378,0,0.000362,0.000436,0.14,0.608,125.019,235800,4
26,"6UnCGAEmrbGIOSmGRZQ1M2",Light On,Maggie Rogers,70,"2019-01-18",{'indie pop'},0.657,0.569,2,-6.287,1,0.201,0.0000138,0.126,0.399,102.054,233880,4
32,"2x1LQq8lsUzAA2wNj8yjC9",Pick Up the Pieces,Average White Band,59,"1974","{'p funk', 'funk', 'disco', 'quiet storm', 'soul'}",0.768,0.853,10,-5.915,0,0.0548,0.13,0.0188,0.889,107.234,239908,4
