	id	title	all_artists	popularity	release_date	genre	danceability	energy	key	loudness	mode	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature
0	2KB8rqbA52HPAKBcutVp51	Nostalgi	Kapteinen	43	2023-06-23	{'norwegian pop rap', 'rogaland musikk'}	0.86	0.684	8	-5.593	0	0.0205	0.00266	0.0702	0.966	126.977	157087	4
1	3JtEochUrOXXcOBJ696kZb	Danse ligavell	Kapteinen	30	2021-01-15	{'norwegian pop rap', 'rogaland musikk'}	0.601	0.754	1	-7.655	1	0.00323	0.0	0.0683	0.603	184.11	192750	4
2	5XCjqm9GXkQtn2wia6O4c6	Bioshock Infinite - After You've Gone - Main Theme - Clean Sound	Geek Music	34	2019-04-05	{'theme'}	0.533	0.153	3	-13.275	1	0.953	2.95e-05	0.0949	0.387	84.118	175363	4
3	7LcfRTgAVTs5pQGEQgUEzN	"Moves Like Jagger - Studio Recording From ""The Voice"" Performance"	Christina Aguilera	74	2010	{'dance pop', 'pop'}	0.722	0.758	11	-4.477	0	0.0111	0.0	0.308	0.62	128.047	201160	4
4	4h9wh7iOZ0GGn8QVp4RAOB	I Ain't Worried	OneRepublic	93	2022-05-13	{'piano rock', 'pop'}	0.704	0.797	0	-5.927	1	0.0826	0.000745	0.0546	0.825	139.994	148486	4
5	38YgZVHPWOWsKrsCXz6JyP	Come On Get Higher	Matt Nathanson	71	2007-01-01	{'acoustic pop', 'neo mellow'}	0.672	0.623	9	-5.699	1	0.241	0.0	0.0848	0.617	92.018	215173	4
6	0WSQkPcQlvwiBpvmOVpu7t	If I'm on the Late Side	Faces	45	1973	{'country rock', 'glam rock', 'classic rock', 'british blues', 'blues rock', 'roots rock', 'singer-songwriter', 'folk rock', 'psychedelic rock', 'protopunk'}	0.748	0.451	4	-10.601	1	0.517	0.00315	0.0766	0.7	109.672	159053	4
7	2zYzyRzz6pRmhPzyfMEC8s	Highway to Hell	AC/DC	87	1979-07-27	{'australian rock', 'hard rock', 'rock'}	0.574	0.913	6	-4.793	0	0.061	0.00158	0.156	0.423	115.728	208400	4
8	7fLTytvnvxy653VWxflTRf	Stay with Me	Faces	65	1971	{'country rock', 'glam rock', 'classic rock', 'british blues', 'blues rock', 'roots rock', 'singer-songwriter', 'folk rock', 'psychedelic rock', 'protopunk'}	0.458	0.869	9	-8.381	1	0.0969	0.0596	0.357	0.813	91.39	279360	4
9	2gFXQQ7dDY4lquHpUNeDTM	Debris	Faces	50	1971	{'country rock', 'glam rock', 'classic rock', 'british blues', 'blues rock', 'roots rock', 'singer-songwriter', 'folk rock', 'psychedelic rock', 'protopunk'}	0.571	0.628	5	-9.922	1	0.574	0.0123	0.0823	0.798	73.738	276427	4
