	id	title	all_artists	popularity	release_date	genre	danceability	energy	key	loudness	mode	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature
0	1MtUq6Wp1eQ8PC6BbPCj8P	I Took A Pill In Ibiza - Seeb Remix	Seeb	75	2016-05-06	{'pop dance', 'dance pop', 'pop rap', 'pop'}	0.664	0.714	7	-6.645	0	0.0353	8.42e-06	0.0843	0.71	101.969	197933	4
1	3JjnGLK8IxkNLvo8Lb3KOM	18	One Direction	82	2014-11-17	{'boy band', 'post-teen pop', 'talent show', 'pop'}	0.681	0.582	6	-7.76	0	0.22	0.0	0.119	0.221	124.038	248360	4
2	1T02TSO5HAzOGFUrZnu8JM	Requiem On Water	Imperial Mammoth	50	2012-11-08	set()	0.673	0.17	0	-14.733	1	0.936	0.0	0.0974	0.197	109.97	145853	4
3	5R4HqXCZ6uTjxxnGdLt2S6	Stay Together	Noah Cyrus	53	2017-04-14	{'alt z', 'pop'}	0.659	0.589	8	-4.004	1	0.174	0.0	0.095	0.339	72.015	192732	4
4	6t6oULCRS6hnI7rm0h5gwl	Some Nights	fun.	72	2012-02-21	{'baroque pop', 'metropopolis'}	0.672	0.738	0	-7.045	1	0.0178	6.75e-05	0.0927	0.392	107.938	277040	4
5	4hQ6UGyWQIGJmHSo0J88JW	Back To You - From 13 Reasons Why – Season 2 Soundtrack	Selena Gomez	76	2018-05-10	{'post-teen pop', 'pop'}	0.601	0.724	6	-4.856	1	0.0945	1.68e-06	0.12	0.508	102.061	207905	4
6	4Musyaro0NM5Awx8b5c627	The Man Who Can't Be Moved	The Script	56	2008-09-08	{'celtic rock', 'pop'}	0.608	0.629	10	-5.024	1	0.423	0.0	0.0978	0.325	99.953	241467	4
7	1Yqovy9hlOeV91IY3Bhcf2	Drive	Ben Rector	0	2018-06-22	{'neo mellow', 'indiecoustica', 'piano rock', 'lds youth', 'acoustic pop'}	0.565	0.857	2	-4.519	1	0.0146	0.0	0.0606	0.632	126.072	197387	4
8	1kiylxwnw8R8rJoCDtubWM	LET'S STAY HOME TONIGHT	NEEDTOBREATHE	57	2016-07-15	{'christian alternative rock', 'ccm', 'folk-pop', 'christian indie', 'christian music'}	0.548	0.367	5	-9.271	1	0.668	0.0	0.144	0.416	147.946	200120	4
9	4ofwffwvvnbSkrMSCKQDaC	Shotgun	George Ezra	80	2018-03-23	{'folk-pop', 'neo-singer-songwriter'}	0.673	0.735	5	-4.733	1	0.286	0.0	0.242	0.754	115.744	201287	4
10	7j639bmHzRH8tWO6q3xsVg	Dear Me - Less is More Mix	Eric Hutchinson	0	2016-08-26	{'acoustic pop', 'neo mellow'}	0.659	0.538	9	-5.766	1	0.234	0.0	0.101	0.576	89.941	232160	4
11	2JVwsN6viHjR9t5pCPQ4Br	Pretty Shining People	George Ezra	64	2018-03-23	{'folk-pop', 'neo-singer-songwriter'}	0.584	0.726	1	-4.604	1	0.14	0.0	0.0984	0.398	106.979	212447	4
12	54KFQB6N4pn926IUUYZGzK	To Build A Home	Patrick Watson	76	2007-05-07	{'downtempo', 'compositional ambient', 'indie quebecois', 'indie folk', 'nu jazz'}	0.264	0.122	9	-15.399	1	0.885	0.349	0.094	0.0735	148.658	371320	4
13	44T13PWJ87jb3lFElhVIHx	Growing Up (feat. Ed Sheeran)	Ed Sheeran	60	2016-02-26	{'singer-songwriter pop', 'pop rap', 'seattle hip hop', 'uk pop', 'pop'}	0.74	0.549	9	-7.072	1	0.178	0.0	0.114	0.469	85.16	305240	4
14	4MflGTO2ZTcSQ12bWcyRgI	Honey, I'm Good.	Andy Grammer	74	2014-08-05	{'post-teen pop', 'neo mellow'}	0.752	0.775	9	-7.289	1	0.0324	0.0	0.351	0.595	122.014	199263	4
15	6GqRl2u7LIW93T8Vi5LnXU	Timebomb	WALK THE MOON	49	2019-01-11	{'dance rock', 'modern rock', 'pop'}	0.584	0.778	5	-4.766	1	0.000276	0.0	0.621	0.446	122.058	218589	4
16	5KAgd2yW7tktrKDsJhO9Fr	Who Do You Love	Marianas Trench	55	2015-10-23	{'canadian rock', 'pixie', 'neon pop punk'}	0.683	0.713	2	-7.511	1	0.122	0.0	0.224	0.558	106.994	232100	4
17	2pJZ1v8HezrAoZ0Fhzby92	What Do I Know?	Ed Sheeran	68	2017-03-03	{'singer-songwriter pop', 'uk pop', 'pop'}	0.838	0.492	1	-5.69	0	0.251	0.0	0.262	0.895	115.092	237333	4
18	1NhPKVLsHhFUHIOZ32QnS2	Secrets	OneRepublic	78	2009-01-01	{'piano rock', 'pop'}	0.516	0.764	2	-6.223	1	0.0717	0.0	0.115	0.376	148.021	224693	4
19	5tAa8Uaqr4VvA3693mbIhU	Ruin My Life	Zara Larsson	67	2018-10-18	{'swedish electropop', 'scandipop', 'swedish pop', 'pop'}	0.665	0.699	11	-5.265	1	0.423	0.0	0.0969	0.585	124.896	190932	4
20	4Sib57MmYGJzSvkW84jTwh	ME! (feat. Brendon Urie of Panic! At The Disco)	Brendon Urie	0	2019-04-26	{'pop'}	0.614	0.839	0	-4.143	1	0.0291	0.0	0.112	0.657	182.123	193040	4
21	01k24g94i1JvkFLQmVEdCd	If You're Over Me	Years & Years	54	2018-05-10	{'gauze pop', 'uk pop', 'pop'}	0.647	0.853	8	-4.516	1	0.0615	0.0	0.062	0.618	103.846	189000	4
22	4gqmi9agXnXX9tfnkaeyop	The Man I Want to Be	Jake Scott	38	2015-11-02	{'singer-songwriter pop', 'indiecoustica'}	0.682	0.812	6	-4.228	1	0.0305	0.0	0.573	0.68	102.034	201760	4
23	7c71baHwrGDOeIFl1gVO14	Paradise	George Ezra	0	2018-01-19	{'folk-pop', 'neo-singer-songwriter'}	0.642	0.881	11	-3.537	1	0.209	0.0	0.21	0.913	138.03	222045	4
24	1mea3bSkSGXuIRvnydlB5b	Viva La Vida	Coldplay	89	2008-05-26	{'permanent wave', 'pop'}	0.486	0.617	5	-7.115	0	0.0954	3.23e-06	0.109	0.417	138.015	242373	4
25	29fRTIKsJhLUJoldM89GZS	You Need To Calm Down	Taylor Swift	14	2019-06-14	{'pop'}	0.768	0.678	2	-5.604	1	0.00838	0.0	0.0596	0.706	85.025	171387	4
26	4WXzzCof26KJLTK5kK53dS	Hey Stephen	Taylor Swift	52	2008-11-11	{'pop'}	0.841	0.544	6	-7.347	1	0.194	2.48e-06	0.108	0.831	115.994	254307	4
27	38YgZVHPWOWsKrsCXz6JyP	Come On Get Higher	Matt Nathanson	71	2007-01-01	{'acoustic pop', 'neo mellow'}	0.672	0.623	9	-5.699	1	0.241	0.0	0.0848	0.617	92.018	215173	4
28	3uM14F9XYRMhx6MgDsS9iq	All Time Low - Recorded at Spotify Studios NYC	Andy Grammer	0	2017-03-01	{'post-teen pop', 'neo mellow'}	0.718	0.59	6	-5.67	0	0.442	0.0	0.198	0.505	94.031	185980	4
29	5sml5GrLj7g9WIpC2R3Tgk	Replaced	American Authors	37	2016-07-01	{'pop rock', 'modern rock'}	0.667	0.566	5	-6.388	1	0.0766	0.0	0.183	0.354	125.015	212547	4
30	5gW5dSy3vXJxgzma4rQuzH	Make Me Feel	Janelle Monáe	66	2018-04-27	{'alternative r&b', 'r&b', 'atl hip hop', 'afrofuturism', 'neo soul'}	0.859	0.413	1	-7.399	1	0.132	0.0	0.334	0.697	115.035	194230	4
31	37f4ITSlgPX81ad2EvmVQr	Fight Song	Rachel Platten	79	2016-01-01	{'post-teen pop', 'viral pop'}	0.564	0.714	7	-4.987	1	0.0549	0.0	0.155	0.33	175.924	204013	4
32	7kSLdGdXLey7pzLsWpdg1h	Little Things	One Direction	0	2012-11-09	{'boy band', 'post-teen pop', 'talent show', 'pop'}	0.707	0.222	7	-11.716	1	0.788	0.0	0.205	0.556	110.095	219640	4
33	4u26EevCNXMhlvE1xFBJwX	If I Die Young	The Band Perry	70	2010-01-01	{'contemporary country', 'country dawn', 'country road', 'country'}	0.606	0.497	4	-6.611	1	0.348	0.0	0.275	0.362	130.739	222773	4
34	3HVWdVOQ0ZA45FuZGSfvns	I Don't Care (with Justin Bieber)	Justin Bieber	79	2019-05-10	{'canadian pop', 'pop'}	0.798	0.675	6	-5.041	1	0.0912	0.0	0.0894	0.842	101.956	219947	4
